年月,等效次数
2024-12,12.496902868161001
2025-01,52.9546875725235
2025-02,41.8242011550735
2025-03,39.575150638708116
2025-04,45.03040491684743
2025-05,59.61905064444446
2025-06,57.73305825900217
2025-07,59.380895383899734
2025-08,59.945162395806214
2025-09,55.13416040289226
2025-10,58.374138346589525
2025-11,52.20242227042661
2025-12,45.16080983369487
