日期,等效次数,profit,是否有效,点位数量
2024-12-25,1.8344420342251142,"{'main': {'revenue': 12627.731066999999, 'cost': 4554.032194465486, 'profit': 8073.698872534513, 'discharge_energy_kwh': 15222.199999999999, 'charge_energy_kwh': 17906.700984843847, 'profit_per_kwh': 0.5303897513194225}, 'physics': {'revenue': 8695.052030451297, 'cost': 4339.295972535707, 'profit': 4355.756057915591, 'discharge_energy_kwh': 10481.520418487999, 'charge_energy_kwh': 17062.346541898813, 'profit_per_kwh': 0.4155652886228815}, 'sample': {'revenue': 12627.731066999999, 'cost': 4554.032194465486, 'profit': 8073.698872534513, 'discharge_energy_kwh': 15222.199999999999, 'charge_energy_kwh': 17906.700984843847, 'profit_per_kwh': 0.5303897513194225}}",True,96
2024-12-26,1.4276693179079296,"{'main': {'revenue': 10097.495436, 'cost': 3544.212308430695, 'profit': 6553.283127569304, 'discharge_energy_kwh': 11846.800000000001, 'charge_energy_kwh': 13936.034556584993, 'profit_per_kwh': 0.5531690521971591}, 'physics': {'revenue': 6952.8126412754655, 'cost': 3377.0921106959577, 'profit': 3575.720530579508, 'discharge_energy_kwh': 8157.327856272, 'charge_energy_kwh': 13278.90889704293, 'profit_per_kwh': 0.4383445895006182}, 'sample': {'revenue': 10097.495436, 'cost': 3544.212308430695, 'profit': 6553.283127569304, 'discharge_energy_kwh': 11846.800000000001, 'charge_energy_kwh': 13936.034556584993, 'profit_per_kwh': 0.5531690521971591}}",True,96
2024-12-27,1.633598457459629,"{'main': {'revenue': 11960.34852, 'cost': 4055.4347476249395, 'profit': 7904.91377237506, 'discharge_energy_kwh': 13555.6, 'charge_energy_kwh': 15946.1888472198, 'profit_per_kwh': 0.5831474646917185}, 'physics': {'revenue': 8235.5137381333, 'cost': 3864.208884741038, 'profit': 4371.304853392263, 'discharge_energy_kwh': 9333.952923024, 'charge_energy_kwh': 15194.278408072656, 'profit_per_kwh': 0.4683230019951776}, 'sample': {'revenue': 11960.34852, 'cost': 4055.4347476249395, 'profit': 7904.91377237506, 'discharge_energy_kwh': 13555.6, 'charge_energy_kwh': 15946.1888472198, 'profit_per_kwh': 0.5831474646917185}}",True,96
2024-12-28,2.0,"{'main': {'revenue': 13774.099139999998, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5307945650782746}, 'physics': {'revenue': 9484.404447595483, 'cost': 4730.91642208108, 'profit': 4753.4880255144035, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.41597010238173343}, 'sample': {'revenue': 13774.099139999998, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5307945650782746}}",True,96
2024-12-29,2.0,"{'main': {'revenue': 13774.09914, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5307945650782746}, 'physics': {'revenue': 9484.404447595485, 'cost': 4730.91642208108, 'profit': 4753.488025514405, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.4159701023817336}, 'sample': {'revenue': 13774.09914, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5307945650782746}}",True,96
2024-12-30,2.0,"{'main': {'revenue': 13774.09914, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.5307945650782746}, 'physics': {'revenue': 9484.404447595483, 'cost': 4730.91642208108, 'profit': 4753.4880255144035, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.41597010238173343}, 'sample': {'revenue': 13774.09914, 'cost': 4965.032537960954, 'profit': 8809.066602039045, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.5307945650782746}}",True,96
2024-12-31,1.6011930585683296,"{'main': {'revenue': 11339.608224, 'cost': 4027.342643785789, 'profit': 7312.265580214211, 'discharge_energy_kwh': 13461.7, 'charge_energy_kwh': 15835.729174999171, 'profit_per_kwh': 0.5431903533888149}, 'physics': {'revenue': 7808.091809167561, 'cost': 3837.4414075155973, 'profit': 3970.650401651964, 'discharge_energy_kwh': 9269.296384067999, 'charge_energy_kwh': 15089.02723936614, 'profit_per_kwh': 0.4283658906922741}, 'sample': {'revenue': 11339.608224, 'cost': 4027.342643785789, 'profit': 7312.265580214211, 'discharge_energy_kwh': 13461.7, 'charge_energy_kwh': 15835.729174999171, 'profit_per_kwh': 0.5431903533888149}}",True,96
2025-01-01,1.8961436490720658,"{'main': {'revenue': 13371.002741999999, 'cost': 5192.143110563191, 'profit': 8178.859631436808, 'discharge_energy_kwh': 15734.199999999997, 'charge_energy_kwh': 18508.99440525877, 'profit_per_kwh': 0.5198141393548328}, 'physics': {'revenue': 9206.845150893563, 'cost': 4947.318052752649, 'profit': 4259.527098140914, 'discharge_energy_kwh': 10834.067254967998, 'charge_energy_kwh': 17636.24002834967, 'profit_per_kwh': 0.3931604814607084}, 'sample': {'revenue': 13371.002741999999, 'cost': 5192.143110563191, 'profit': 8178.859631436808, 'discharge_energy_kwh': 15734.199999999997, 'charge_energy_kwh': 18508.99440525877, 'profit_per_kwh': 0.5198141393548328}}",True,96
2025-01-02,1.8262349333333332,"{'main': {'revenue': 12486.396964635696, 'cost': 5000.714546082429, 'profit': 7485.682418553268, 'discharge_energy_kwh': 15154.0974768, 'charge_energy_kwh': 17826.588286334052, 'profit_per_kwh': 0.49397085045898587}, 'physics': {'revenue': 8597.733884601148, 'cost': 4764.915916929111, 'profit': 3832.8179676720374, 'discharge_energy_kwh': 10434.62719756912, 'charge_energy_kwh': 16986.011396439157, 'profit_per_kwh': 0.3673171925648615}, 'sample': {'revenue': 12486.396964635696, 'cost': 5000.714546082429, 'profit': 7485.682418553268, 'discharge_energy_kwh': 15154.0974768, 'charge_energy_kwh': 17826.588286334052, 'profit_per_kwh': 0.49397085045898587}}",True,96
2025-01-03,2.0,"{'main': {'revenue': 14213.006603999998, 'cost': 5476.529284164859, 'profit': 8736.47731983514, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.526420662800382}, 'physics': {'revenue': 9786.622099823333, 'cost': 5218.294568740894, 'profit': 4568.327531082439, 'discharge_energy_kwh': 11427.475191839998, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3997670049062578}, 'sample': {'revenue': 14213.006603999998, 'cost': 5476.529284164859, 'profit': 8736.47731983514, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.526420662800382}}",True,96
